area,avg_ms,max_ms,p99_ms,calls_per_frame
__frame_total,109.603,138.265,138.265,1.000
Grass Collect,1.646,2.784,2.784,1.000
Prop Culling,0.134,0.465,0.465,1.000
Grass Wind,0.040,0.050,0.050,1.000
Face Visibility,0.035,0.117,0.117,1.000
Mesh Dirty,0.015,0.023,0.023,1.000
Fog Submit,0.002,0.004,0.004,1.000
Grass Cull,0.002,0.013,0.013,1.000
Reflection Render,0.001,0.003,0.003,1.000
Grass Animate,0.001,0.011,0.011,1.000
Prop Billboard,0.001,0.002,0.002,1.000
Visible Chunks,0.000,0.001,0.001,1.000
Collider Build,0.000,0.000,0.000,0.000
Foliage Fade,0.000,0.000,0.000,1.000
God Rays,0.000,0.000,0.000,0.000
LOD Update,0.000,0.000,0.000,1.000
Octree Rebuild,0.000,0.000,0.000,1.000
Prop Spawn,0.000,0.000,0.000,1.000
Water Sim,0.000,0.000,0.000,0.000
Water Upload,0.000,0.000,0.000,0.000
