area,avg_ms,max_ms,p99_ms,calls_per_frame
__frame_total,115.043,139.463,139.463,1.000
Grass Collect,2.865,4.981,4.981,1.000
Prop Culling,0.142,0.491,0.491,1.000
Grass Wind,0.039,0.051,0.051,1.000
Face Visibility,0.033,0.053,0.053,1.000
Mesh Dirty,0.014,0.023,0.023,1.000
Fog Submit,0.003,0.006,0.006,1.000
Grass Animate,0.002,0.005,0.005,1.000
Grass Cull,0.001,0.008,0.008,1.000
Reflection Render,0.001,0.002,0.002,1.000
Prop Billboard,0.001,0.002,0.002,1.000
Collider Build,0.000,0.000,0.000,0.000
Foliage Fade,0.000,0.000,0.000,1.000
God Rays,0.000,0.000,0.000,0.000
LOD Update,0.000,0.000,0.000,1.000
Octree Rebuild,0.000,0.000,0.000,1.000
Prop Spawn,0.000,0.000,0.000,1.000
Visible Chunks,0.000,0.000,0.000,1.000
Water Sim,0.000,0.000,0.000,0.000
Water Upload,0.000,0.000,0.000,0.000
